Bezeichnung männlich lang,Bezeichnung weiblich lang
Korb- und Flechtwerker (§66 BBiG/§42m HWO),Korb- und Flechtwerkerin (§66 BBiG/§42m HWO)
Korb- und Flechtwerkgestaltermeister/Bachelor Professional im Korb- und Flechtwerkgestalter-Handwerk,Korb- und Flechtwerkgestaltermeisterin/Bachelor Professional im Korb- und Flechtwerkgestalter-Handwerk
Korb- und Möbelflechter,Korb- und Möbelflechterin
Korbflechter,Korbflechterin
Korbflechtermeister,Korbflechtermeisterin
Korbmacher,Korbmacherin
Korbmacher Fachrichtung Korbmöbelbau,Korbmacherin Fachrichtung Korbmöbelbau
Korbmacher Fachrichtung Korbwarenherstellung,Korbmacherin Fachrichtung Korbwarenherstellung
Korbmachermeister,Korbmachermeisterin
Korbmöbelflechter,Korbmöbelflechterin
Korbwarenmacher,Korbwarenmacherin
Kordelmacher,Kordelmacherin
Koreanist,Koreanistin
Korkmacher,Korkmacherin
Korkmaschinenarbeiter (Korkmacher),Korkmaschinenarbeiterin (Korkmacherin)
Korrektor,Korrektorin
Korrekturleser,Korrekturleserin
Korrekturlithograf,Korrekturlithografin
Korrepetitor,Korrepetitorin
Korrespondent,Korrespondentin
Korrosionsschützer,Korrosionsschützerin
Korrosionsschutzfacharbeiter,Korrosionsschutzfacharbeiterin
Korrosionsschutzfacharbeiter - Anstrichstoffbeschichtung,Korrosionsschutzfacharbeiterin - Anstrichstoffbeschichtung
Korrosionsschutzfacharbeiter - Metallische Beschichtung,Korrosionsschutzfacharbeiterin - Metallische Beschichtung
Korrosionsschutzingenieur,Korrosionsschutzingenieurin
Korrosionsschutztechniker,Korrosionsschutztechnikerin
Kosmetikberater,Kosmetikberaterin
Kosmetiker,Kosmetikerin
Kosmetikermeister/Bachelor Professional im Kosmetiker-Handwerk,Kosmetikermeisterin/Bachelor Professional im Kosmetiker-Handwerk
Kosmetikfachverkäufer,Kosmetikfachverkäuferin
Kosmetiklaborant,Kosmetiklaborantin
Kosmetikverkäufer,Kosmetikverkäuferin
Kosmetologe,Kosmetologin
Kostenabrechner,Kostenabrechnerin
Kostenanalytiker,Kostenanalytikerin
Kostenplaner,Kostenplanerin
Kostenrechner,Kostenrechnerin
Kostenstellenrechner,Kostenstellenrechnerin
Kostenträgerrechner,Kostenträgerrechnerin
Koster,Kosterin
Kostümberater,Kostümberaterin
Kostümbild-Assistent,Kostümbild-Assistentin
Kostümbildner,Kostümbildnerin
Kostümdesigner,Kostümdesignerin
Kostümfundusbetreuer,Kostümfundusbetreuerin
Kostümschneider,Kostümschneiderin
Kostümschuhmacher,Kostümschuhmacherin
Krabbenfischer,Krabbenfischerin
Kraftfahrlehrer,Kraftfahrlehrerin
Kraftfahrsachverständiger,Kraftfahrsachverständige
Kraftfahrzeugbetriebsleiter,Kraftfahrzeugbetriebsleiterin
Kraftfahrzeugbetriebswirt (Fachschule),Kraftfahrzeugbetriebswirtin (Fachschule)
Kraftfahrzeug-Einsatzleiter,Kraftfahrzeug-Einsatzleiterin
Kraftfahrzeugelektrikerhelfer,Kraftfahrzeugelektrikerhelferin
Kraftfahrzeugelektriker für allgemeine Reparaturen,Kraftfahrzeugelektrikerin für allgemeine Reparaturen
Kraftfahrzeugelektriker,Kraftfahrzeugelektrikerin
Kraftfahrzeugelektriker für Einspritzaggregate,Kraftfahrzeugelektrikerin für Einspritzaggregate
"Kraftfahrzeugelektriker für Zündung, Vergaser, Motor, Zubehör und Diagnose","Kraftfahrzeugelektrikerin für Zündung, Vergaser, Motor, Zubehör und Diagnose"
Kraftfahrzeugelektrikermeister,Kraftfahrzeugelektrikermeisterin
Kraftfahrzeug-Elektromechaniker,Kraftfahrzeug-Elektromechanikerin
Kraftfahrzeugelektroniker,Kraftfahrzeugelektronikerin
Kraftfahrzeugführer in der Ver- und Entsorgung,Kraftfahrzeugführerin in der Ver- und Entsorgung
Kraftfahrzeugführer von Baufahrzeugen,Kraftfahrzeugführerin von Baufahrzeugen
Kraftfahrzeug-Industriemeister,Kraftfahrzeug-Industriemeisterin
Kraftfahrzeugingenieur,Kraftfahrzeugingenieurin
Kraftfahrzeuginstandsetzerhelfer,Kraftfahrzeuginstandsetzerhelferin
Kraftfahrzeuginstandsetzer,Kraftfahrzeuginstandsetzerin
Kraftfahrzeug-Kundendiensttechniker,Kraftfahrzeug-Kundendiensttechnikerin
Kraftfahrzeuglackierer,Kraftfahrzeuglackiererin
Kraftfahrzeuglackierermeister,Kraftfahrzeuglackierermeisterin
Kraftfahrzeugmechanikerhelfer,Kraftfahrzeugmechanikerhelferin
Kraftfahrzeugmechaniker,Kraftfahrzeugmechanikerin
Kraftfahrzeugmechaniker Schwerpunkt Kraftradinstandhaltung,Kraftfahrzeugmechanikerin Schwerpunkt Kraftradinstandhaltung
Kraftfahrzeugmechaniker Schwerpunkt Nutzkraftwageninstandhaltung,Kraftfahrzeugmechanikerin Schwerpunkt Nutzkraftwageninstandhaltung
Kraftfahrzeugmechaniker Schwerpunkt Personenkraftwageninstandhaltung,Kraftfahrzeugmechanikerin Schwerpunkt Personenkraftwageninstandhaltung
Kraftfahrzeugmechanikermeister,Kraftfahrzeugmechanikermeisterin
Kraftfahrzeugmechatroniker,Kraftfahrzeugmechatronikerin
Kraftfahrzeugmechatroniker Schwerpunkt Fahrzeugkommunikationstechnik,Kraftfahrzeugmechatronikerin Schwerpunkt Fahrzeugkommunikationstechnik
Kraftfahrzeugmechatroniker Schwerpunkt Karosserietechnik,Kraftfahrzeugmechatronikerin Schwerpunkt Karosserietechnik
Kraftfahrzeugmechatroniker Schwerpunkt Motorradtechnik,Kraftfahrzeugmechatronikerin Schwerpunkt Motorradtechnik
Kraftfahrzeugmechatroniker Schwerpunkt Nutzfahrzeugtechnik,Kraftfahrzeugmechatronikerin Schwerpunkt Nutzfahrzeugtechnik
Kraftfahrzeugmechatroniker Schwerpunkt Personenkraftwagentechnik,Kraftfahrzeugmechatronikerin Schwerpunkt Personenkraftwagentechnik
Kraftfahrzeugmechatroniker Schwerpunkt System- und Hochvolttechnik,Kraftfahrzeugmechatronikerin Schwerpunkt System- und Hochvolttechnik
Kraftfahrzeugmeister,Kraftfahrzeugmeisterin
Kraftfahrzeugmotorenbauer,Kraftfahrzeugmotorenbauerin
Kraftfahrzeugmotoreninstandsetzer,Kraftfahrzeugmotoreninstandsetzerin
Kraftfahrzeugmotorenmechaniker,Kraftfahrzeugmotorenmechanikerin
Kraftfahrzeugmotorenschlosser,Kraftfahrzeugmotorenschlosserin
Kraftfahrzeugsachverständiger,Kraftfahrzeugsachverständige
Kraftfahrzeugschlosser (Instandsetzung),Kraftfahrzeugschlosserin (Instandsetzung)
Kraftfahrzeugschlosserhelfer,Kraftfahrzeugschlosserhelferin
Kraftfahrzeugschlossermeister,Kraftfahrzeugschlossermeisterin
Kraftfahrzeugservicemechaniker,Kraftfahrzeugservicemechanikerin
Kraftfahrzeugsystemmechaniker,Kraftfahrzeugsystemmechanikerin
Kraftfahrzeugtechnik-Betriebsmanager,Kraftfahrzeugtechnik-Betriebsmanagerin
Kraftfahrzeugtechniker,Kraftfahrzeugtechnikerin
Kraftfahrzeugtechnikermeister/Bachelor Professional im Kraftfahrzeugtechniker-Handwerk,Kraftfahrzeugtechnikermeisterin/Bachelor Professional im Kraftfahrzeugtechniker-Handwerk
Kraftfahrzeugwäscher,Kraftfahrzeugwäscherin
Kraftfahrzeugwerkstattgehilfe,Kraftfahrzeugwerkstattgehilfin
Kraftfahrzeugwerkstattleiter,Kraftfahrzeugwerkstattleiterin
Kraftmaschinenwärter,Kraftmaschinenwärterin
Kraftradmechaniker,Kraftradmechanikerin
Kraftverkehrsmeister,Kraftverkehrsmeisterin
Kraftwagenfahrer (Güterverkehr),Kraftwagenfahrerin (Güterverkehr)
Kraftwerkfacharbeiter,Kraftwerkfacharbeiterin
Kraftwerkingenieur (FS) Fachrichtung Kraftwerke,Kraftwerkingenieur (FS) Fachrichtung Kraftwerke
Kraftwerkmaschinist,Kraftwerkmaschinistin
Kraftwerksingenieur,Kraftwerksingenieurin
Kraftwerksmechaniker,Kraftwerksmechanikerin
Kraftwerksmeister,Kraftwerksmeisterin
"Kraftwerksmeister Fachrichtung Elektrotechnik, Leittechnik","Kraftwerksmeisterin Fachrichtung Elektrotechnik, Leittechnik"
Kraftwerksmeister Fachrichtung Maschinentechnik,Kraftwerksmeisterin Fachrichtung Maschinentechnik
Kraftwerksmeister Fachrichtung Maschinentechnik/Kerntechnik,Kraftwerksmeisterin Fachrichtung Maschinentechnik/Kerntechnik
Kraftwerksmeister für Betrieb und Instandhaltung,Kraftwerksmeisterin für Betrieb und Instandhaltung
Kraftwerksmeister im Bereich Verfahrenstechnik,Kraftwerksmeisterin im Bereich Verfahrenstechnik
Kranbauschlosser,Kranbauschlosserin
Kranfahrer,Kranfahrerin
Kranführer,Kranführerin
Kranken- und Altenpflegehelfer,Kranken- und Altenpflegehelferin
Krankengymnast,Krankengymnastin
Krankenhausapotheker,Krankenhausapothekerin
Krankenhausfürsorger,Krankenhausfürsorgerin
Krankenhausmanager,Krankenhausmanagerin
Krankenhauspsychologe,Krankenhauspsychologin
Krankenhaussekretär,Krankenhaussekretärin
Krankenkassenbetriebswirt (Fachschule),Krankenkassenbetriebswirtin (Fachschule)
Krankenkassenfachwirt,Krankenkassenfachwirtin
Krankenpflegefachwirt,Krankenpflegefachwirtin
Krankenpflegehelfer,Krankenpflegehelferin
Krankenpflegehelfer in der Behindertenpflege,Krankenpflegehelferin in der Behindertenpflege
,
Krankenpflegeleiter,Krankenpflegeleiterin
Krankenpfleger,Krankenschwester
Krankenpfleger für Anästhesie,Krankenschwester für Anästhesie
Krankenpfleger für Endoskopie,Krankenschwester für Endoskopie
Krankenpfleger für Geriatrie,Krankenschwester für Geriatrie
Krankenpfleger für Hygiene,Krankenschwester für Hygiene
Krankenpfleger für Intensivmedizin,Krankenschwester für Intensivmedizin
Krankenpfleger für Intensivpflege,Krankenschwester für Intensivpflege
Krankenpfleger für Intensivpflege und Anästhesie,Krankenschwester für Intensivpflege und Anästhesie
Krankenpfleger für Nachtwache,Krankenschwester für Nachtwache
Krankenpfleger für Nephrologie,Krankenschwester für Nephrologie
Krankenpfleger für Onkologie,Krankenschwester für Onkologie
Krankenpfleger für Psychiatrie,Krankenschwester für Psychiatrie
Krankenpfleger für Rehabilitation,Krankenschwester für Rehabilitation
Krankenpfleger im Operationsdienst,Krankenschwester im Operationsdienst
Krankenträger,Krankenträgerin
Krankentransporteur,Krankentransporteurin
Krankenversicherungsagent,Krankenversicherungsagentin
Krankenversicherungsangestellter,Krankenversicherungsangestellte
Krankenversicherungsantragsbearbeiter,Krankenversicherungsantragsbearbeiterin
Krankenversicherungsberater,Krankenversicherungsberaterin
Krankenversicherungsbetriebswirt (Hochschule),Krankenversicherungsbetriebswirtin (Hochschule)
Krankenversicherungsdirektor,Krankenversicherungsdirektorin
Krankenversicherungsfachmann,Krankenversicherungsfachfrau
Krankenversicherungsinspektor,Krankenversicherungsinspektorin
Krankenversicherungskalkulator,Krankenversicherungskalkulatorin
Krankenversicherungskaufmann,Krankenversicherungskauffrau
Krankenversicherungsorganisator,Krankenversicherungsorganisatorin
Krankenversicherungsprüfer,Krankenversicherungsprüferin
Krankenversicherungsrevisor,Krankenversicherungsrevisorin
Krankenversicherungssachbearbeiter,Krankenversicherungssachbearbeiterin
Krankenversicherungsspezialist,Krankenversicherungsspezialistin
Krankenversicherungsvertragsverwalter,Krankenversicherungsvertragsverwalterin
Krankenversicherungsvertreter,Krankenversicherungsvertreterin
Krankenwagenbegleiter,Krankenwagenbegleiterin
Krankenwagenfahrer,Krankenwagenfahrerin
Kranmaschinist,Kranmaschinistin
Kranmonteur,Kranmonteurin
Kranschlosser,Kranschlosserin
Kranwagenfahrer,Kranwagenfahrerin
Kranwärter,Kranwärterin
Kranzbinder,Kranzbinderin
Krautbauer,Krautbäuerin
Kräutersammler,Kräutersammlerin
Krawattennäher,Krawattennäherin
Kreativ-Direktor,Kreativ-Direktorin
Kreativitätspädagoge,Kreativitätspädagogin
Kreativitätstrainer,Kreativitätstrainerin
Kreditanalyst,Kreditanalystin
Kreditberater,Kreditberaterin
Kreditbetreuer,Kreditbetreuerin
Kreditfachmann,Kreditfachfrau
Kreditkaufmann,Kreditkauffrau
Kreditkundenberater,Kreditkundenberaterin
Kreditmanager,Kreditmanagerin
Kreditorenbuchhalter,Kreditorenbuchhalterin
Kreditprüfer,Kreditprüferin
Kreditreferent,Kreditreferentin
Kreditrevisor,Kreditrevisorin
Kreditsachbearbeiter,Kreditsachbearbeiterin
Kreditsachbearbeiter (Bausparkasse),Kreditsachbearbeiterin (Bausparkasse)
Kreditspezialist,Kreditspezialistin
Kreditvermittler,Kreditvermittlerin
Kreidelithograf,Kreidelithografin
Kreißsaalentbindungspfleger,Kreißsaalhebamme
Krematoriumsaufseher,Krematoriumsaufseherin
Krematoriumsverwalter,Krematoriumsverwalterin
Krepprollenmacher,Krepprollenmacherin
Kreuzspulenfärber,Kreuzspulenfärberin
Kreuzstichsticker,Kreuzstichstickerin
Kriminalbeamter (gehobener Dienst),Kriminalbeamtin (gehobener Dienst)
Kriminalbeamter (höherer Dienst),Kriminalbeamtin (höherer Dienst)
Kriminalbeamter#Kriminalbeamtin (mittlerer Dienst),Kriminalbeamter#Kriminalbeamtin (mittlerer Dienst)
Kriminalpolizist (gehobener Dienst),Kriminalpolizistin (gehobener Dienst)
Kriminalpolizist (höherer Dienst),Kriminalpolizistin (höherer Dienst)
Kriminalpolizist (mittlerer Dienst),Kriminalpolizistin (mittlerer Dienst)
Kriminalpsychologe,Kriminalpsychologin
Kriminaltechniker,Kriminaltechnikerin
Kriminologe,Kriminologin
Krippenerzieher,Krippenerzieherin
Krippenhelfer,Krippenhelferin
Krisenberater,Krisenberaterin
Kryotechniker,Kryotechnikerin
Kryptologe,Kryptologin
Kübelmacher,Kübelmacherin
Kübler,Küblerin
Kuchenbäcker,Kuchenbäckerin
Küchenchef,Küchenchefin
"Küchendirektor (Gaststätte, Hotel)","Küchendirektorin (Gaststätte, Hotel)"
Küchenfachberater,Küchenfachberaterin
Küchenfleischer,Küchenfleischerin
Küchengehilfe,Küchengehilfin
Küchenhelfer,Küchenhelfer
,
Küchenleiter,Küchenleiterin
Küchenmetzger,Küchenmetzgerin
Küchenmonteur,Küchenmonteurin
Küchenplaner,Küchenplanerin
Küchentechniker,Küchentechnikerin
Küchenvorsteher,Küchenvorsteherin
Küfer,Küferin
Kugelschreibermacher (Kunststoff),Kugelschreibermacherin (Kunststoff)
Kühl- und Klimaanlagenmonteur,Kühl- und Klimaanlagenmonteurin
Kühlanlagenbauer,Kühlanlagenbauerin
Kühlanlageningenieur,Kühlanlageningenieurin
Kühlanlageninstallateur,Kühlanlageninstallateurin
Kühlanlagentechniker,Kühlanlagentechnikerin
Kühlanlagenwärter,Kühlanlagenwärterin
Kühlerbauer,Kühlerbauerin
Kühlerklempner,Kühlerklempnerin
Kühlhauswärter,Kühlhauswärterin
Kühltechniker,Kühltechnikerin
Kühlwagenfahrer,Kühlwagenfahrerin
Kükensortierer,Kükensortiererin
Kulissenarbeiter,Kulissenarbeiterin
Kulissenbauer (Zimmerer),Kulissenbauerin (Zimmerin)
Kulissengestalter,Kulissengestalterin
Kultur- und Freizeitpädagoge,Kultur- und Freizeitpädagogin
Kultur- und Freizeitwissenschaftler,Kultur- und Freizeitwissenschaftlerin
"Kultur-, Wasserbauhelfer","Kultur-, Wasserbauhelferin"
Kulturanimateur,Kulturanimateurin
Kulturanthropologe,Kulturanthropologin
Kulturbauarbeiter,Kulturbauarbeiterin
Kulturbauhelfer,Kulturbauhelferin
Kulturbauingenieur,Kulturbauingenieurin
Kulturbaulehrer,Kulturbaulehrerin
Kulturbautechniker,Kulturbautechnikerin
Kulturbauwerker,Kulturbauwerkerin
Kulturdezernent,Kulturdezernentin
Kulturgeograf,Kulturgeografin
Kulturmanager,Kulturmanagerin
Kulturökonom,Kulturökonomin
Kulturpädagoge,Kulturpädagogin
Kulturreferent,Kulturreferentin
Kulturwirt,Kulturwirtin
Kulturwissenschaftler,Kulturwissenschaftlerin
Kummetmacher,Kummetmacherin
Kumpel (Bergbau),
"Kundenberater (Bank, Sparkasse)","Kundenberaterin (Bank, Sparkasse)"
Kundenberater bei einer Versicherung,Kundenberaterin bei einer Versicherung
Kundenberater für Automobile,Kundenberaterin für Automobile
Kundenberater für Kfz-Werkstattausrüstung,Kundenberaterin für Kfz-Werkstattausrüstung
Kundenberater im Schreinerhandwerk,Kundenberaterin im Schreinerhandwerk
Kundenberater im Vertrieb,Kundenberaterin im Vertrieb
Kundenbuchhalter,Kundenbuchhalterin
Kundendienstberater (Kfz),Kundendienstberaterin (Kfz)
Kundendienstberater,Kundendienstberaterin
Kundendienstberater (Radio- und Fernsehtechnik),Kundendienstberaterin (Radio- und Fernsehtechnik)
Kundendienstfacharbeiter,Kundendienstfacharbeiterin
Kundendienstingenieur (Uni) - IuK-Technik,Kundendienstingenieurin (Uni) - IuK-Technik
Kundendienstlehrer (Kfz),Kundendienstlehrerin (Kfz)
Kundendienstleiter (Versicherung),Kundendienstleiterin (Versicherung)
Kundendienstmechaniker (Spinnereimaschinen),Kundendienstmechanikerin (Spinnereimaschinen)
"Kundendienstmitarbeiter (Textilmaschinen, Textilveredlung)","Kundendienstmitarbeiterin (Textilmaschinen, Textilveredlung)"
"Kundendienstmonteur, Kundendiensttechniker","Kundendienstmonteurin, Kundendiensttechnikerin"
"Kundendienstmonteur - Rollladen, Jalousien, Rolltore, Sonnenschutzanlagen","Kundendienstmonteurin - Rollladen, Jalousien, Rolltore, Sonnenschutzanlagen"
Kundendienstmonteur (Betriebstechnik),Kundendienstmonteurin (Betriebstechnik)
Kundendienstmonteur (Elektroanlagen),Kundendienstmonteurin (Elektroanlagen)
Kundendienstmonteur (Elektroanlageninstallation),Kundendienstmonteurin (Elektroanlageninstallation)
Kundendienstmonteur (Elektroinstallation),Kundendienstmonteurin (Elektroinstallation)
Kundendienstmonteur (Gas- und Wasserinstallation),Kundendienstmonteurin (Gas- und Wasserinstallation)
Kundendienstmonteur im Kachelofen- und Luftheizungsbau,Kundendienstmonteurin im Kachelofen- und Luftheizungsbau
"Kundendienstmonteur (Klempner, Installateur)","Kundendienstmonteurin (Klempner, Installateur)"
Kundendienstschreiner,Kundendienstschreinerin
Kundendiensttechniker - Büroinformationselektronik/Bürotechnik,Kundendiensttechnikerin - Büroinformationselektronik/Bürotechnik
Kundendiensttechniker - Fertigungs- und Betriebstechnik,Kundendiensttechnikerin - Fertigungs- und Betriebstechnik
Kundendiensttechniker - Gebäudetechnik,Kundendiensttechnikerin - Gebäudetechnik
Kundendiensttechniker (Elektroniktechnik),Kundendiensttechnikerin (Elektroniktechnik)
Kundeninformationsfachkraft,Kundeninformationsfachkraft
Kundenmanager,Kundenmanagerin
"Kunst-, Antiquitätenhändler","Kunst-, Antiquitätenhändlerin"
Kunst- und Bilderverleger,Kunst- und Bilderverlegerin
Kunst- und Zeichenlehrer,Kunst- und Zeichenlehrerin
Kunstaugenbläser,Kunstaugenbläserin
Kunstblumenfacharbeiter,Kunstblumenfacharbeiterin
Kunstdidaktiker,Kunstdidaktikerin
Kunstdrechselmeister,Kunstdrechselmeisterin
Kunstdrechsler,Kunstdrechslerin
Kunstdrechslermeister,Kunstdrechslermeisterin
Kunstdrucker (Buchdrucker),Kunstdruckerin (Buchdruckerin)
Kunsterzieher (an Gesamtschulen),Kunsterzieherin (an Gesamtschulen)
Kunsterzieher (Uni) an Grund- und Hauptschulen,Kunsterzieherin (Uni) an Grund- und Hauptschulen
Kunsterzieher (Uni) an Gymnasien,Kunsterzieherin (Uni) an Gymnasien
Kunsterzieher (Uni) an Realschulen,Kunsterzieherin (Uni) an Realschulen
Kunstfaserspinner,Kunstfaserspinnerin
Kunstfeuerwerker,Kunstfeuerwerkerin
Kunstformer - Gips,Kunstformerin - Gips
Kunstformer,Kunstformerin
Kunstgeschichtler,Kunstgeschichtlerin
Kunstgießer,Kunstgießerin
Kunstglasbläser,Kunstglasbläserin
Kunstglaser,Kunstglaserin
Kunstglaser und Glasmaler,Kunstglaserin und Glasmalerin
Kunstglasmacher,Kunstglasmacherin
Kunsthändler,Kunsthändlerin
Kunsthandwerker,Kunsthandwerkerin
Kunsthandwerklicher Restaurator,Kunsthandwerkliche Restauratorin
Kunstharzmodellbauer,Kunstharzmodellbauerin
Kunsthistoriker,Kunsthistorikerin
Kunstklempner,Kunstklempnerin
Kunstlederfacharbeiter,Kunstlederfacharbeiterin
Kunstledermacher,Kunstledermacherin
Kunstlehrer,Kunstlehrerin
Künstlerischer Betriebsdirektor,Künstlerische Betriebsdirektorin
Künstlerischer Betriebsleiter (Intendant),Künstlerische Betriebsleiterin (Intendantin)
Künstlerischer Mitarbeiter (Uni),Künstlerische Mitarbeiterin (Uni)
Künstlerischer Therapeut,Künstlerische Therapeutin
Künstlervermittler (nicht bei der Agentur für Arbeit),Künstlervermittlerin (nicht bei der Agentur für Arbeit)
Kunstmaler,Kunstmalerin
Kunstmanager,Kunstmanagerin
Kunstmöbeltischler,Kunstmöbeltischlerin
Kunstpädagoge,Kunstpädagogin
Kunstporzellanmaler,Kunstporzellanmalerin
Kunstreiter,Kunstreiterin
Kunstrestaurator,Kunstrestauratorin
Kunstsachverständiger,Kunstsachvertändige
Kunstschätzer,Kunstschätzerin
Kunstschlosser,Kunstschlosserin
Kunstschmied,Kunstschmiedin
Kunstschnitzer,Kunstschnitzerin
Kunstschreiner,Kunstschreinerin
Kunststeinbildhauer,Kunststeinbildhauerin
Kunststeinleger,Kunststeinlegerin
Kunststeinschleifer,Kunststeinschleiferin
Kunststicker,Kunststickerin
Kunststoff- und Kautschuktechniker,Kunststoff- und Kautschuktechnikerin
Kunststoff- und Kautschuktechnologe,Kunststoff- und Kautschuktechnologin
Kunststoff- und Kautschuktechnologe Fachrichtung Bauteile,Kunststoff- und Kautschuktechnologin Fachrichtung Bauteile
Kunststoff- und Kautschuktechnologe Fachrichtung Compound- und Masterbatchherstellung,Kunststoff- und Kautschuktechnologin Fachrichtung Compound- und Masterbatchherstellung
Kunststoff- und Kautschuktechnologe Fachrichtung Faserverbundtechnologie,Kunststoff- und Kautschuktechnologin Fachrichtung Faserverbundtechnologie
Kunststoff- und Kautschuktechnologe Fachrichtung Formteile,Kunststoff- und Kautschuktechnologin Fachrichtung Formteile
Kunststoff- und Kautschuktechnologe Fachrichtung Halbzeuge,Kunststoff- und Kautschuktechnologin Fachrichtung Halbzeuge
Kunststoff- und Kautschuktechnologe Fachrichtung Kunststofffenster,Kunststoff- und Kautschuktechnologin Fachrichtung Kunststofffenster
Kunststoff- und Kautschuktechnologe Fachrichtung Mehrschichtkautschukteile,Kunststoff- und Kautschuktechnologin Fachrichtung Mehrschichtkautschukteile
Kunststoff- und Schwergewebekonfektionär,Kunststoff- und Schwergewebekonfektionärin
Kunststoffauskleider,Kunststoffauskleiderin
Kunststoffbeschichter,Kunststoffbeschichterin
Kunststoffbootsbauer,Kunststoffbootsbauerin
Kunststoffdreher,Kunststoffdreherin
Kunststoff-Facharbeiter,Kunststoff-Facharbeiterin
Kunststofffachberater,Kunststofffachberaterin
Kunststoff-Formgeber,Kunststoff-Formgeberin
Kunststoff-Formgebermeister,Kunststoff-Formgebermeisterin
Kunststoffingenieur,Kunststoffingenieurin
Kunststoffkonfektionär,Kunststoffkonfektionärin
Kunststofflackierer,Kunststofflackiererin
Kunststoffmaschinenbediener,Kunststoffmaschinenbedienerin
Kunststoffmaschineneinrichter,Kunststoffmaschineneinrichterin
Kunststoffmodellbauer,Kunststoffmodellbauerin
Kunststoffpresser,Kunststoffpresserin
Kunststoff-Qualitätsprüfer (Kunststoff-Formgebung),Kunststoff-Qualitätsprüferin (Kunststoff-Formgebung)
Kunststoffschlauchmacher,Kunststoffschlauchmacherin
Kunststoffschlosser,Kunststoffschlosserin
Kunststoffschweißer,Kunststoffschweißerin
Kunststoffspritzer,Kunststoffspritzerin
Kunststoffstereotypeur,Kunststoffstereotypeurin
Kunststofftechniker - alle Fachrichtungen,Kunststofftechnikerin - alle Fachrichtungen
Kunststofftechnologe,Kunststofftechnologin
Kunststofftiefzieher,Kunststofftiefzieherin
Kunststoffverarbeiter,Kunststoffverarbeiterin
Kunststoffverarbeitungshelfer,Kunststoffverarbeitungshelferin
Kunststoffverarbeitungstechniker,Kunststoffverarbeitungstechnikerin
Kunststoffverformer,Kunststoffverformerin
Kunststoffwarenmacher,Kunststoffwarenmacher
Kunststoffwerker (Kunststoffhersteller),Kunststoffwerkerin (Kunststoffhersteller)
Kunststopfer,Kunststopferin
Kunsttherapeut,Kunsttherapeutin
Kunsttischler,Kunsttischlerin
Kunsttöpfer,Kunsttöpferin
Kunstverglaser,Kunstverglaserin
Kunstverleger,Kunstverlegerin
Kunstwissenschaftler,Kunstwissenschaftlerin
Kunstzeichner,Kunstzeichnerin
Küper,Küperin
Küpermeister (Böttcherhandwerk),Küpermeisterin (Böttcherhandwerk)
Kupferhammerschmied,Kupferhammerschmiedin
Kupferklempner,Kupferklempnerin
Kupferschmiedehelfer,Kupferschmiedehelferin
Kupferschmiedemeister,Kupferschmiedemeisterin
Kupferschmied,Kupferschmiedin
Kurator,Kuratorin
Kurbelwellendreher,Kurbelwellendreherin
Kurdirektor,Kurdirektorin
Kurhausbesitzer,Kurhausbesitzerin
Kurierdienstfahrer,Kurierdienstfahrerin
Kurierfahrer,Kurierfahrerin
Kursberater,Kursberaterin
Kürschner,Kürschnerin
Kürschnermeister/Bachelor Professional im Kürschner-Handwerk,Kürschnermeisterin/Bachelor Professional im Kürschner-Handwerk
Kursleiter für Atemtherapie,Kursleiterin für Atemtherapie
Kursleiter für Gemeindekrankenpflege,Kursleiterin für Gemeindekrankenpflege
Kursportlehrer,Kursportlehrerin
Kurssportlehrer,Kurssportlehrerin
Kurzschriftlehrer,Kurzschriftlehrerin
Küstenfischer (Matrose),Küstenfischerin (Matrosin)
Küstenfischermeister,Küstenfischermeisterin
Küstenschiffer,Küstenschifferin
Küstenschutzarbeiter,Küstenschutzarbeiterin
Küster,Küsterin
Kutschenmacher,Kutschenmacherin
Kutscher,Kutscherin
Kutterfischer (Krabbenfischerei),Kutterfischerin (Krabbenfischerei)
Kuvertmaschinenarbeiter,Kuvertmaschinenarbeiterin
Kuvertstanzer,Kuvertstanzerin
Kybernetiker,Kybernetikerin
Kybernetikingenieur,Kybernetikingenieurin
Kynopädagoge,Kynopädagogin
Laborant für Geologie und Mineralogie,Laborantin für Geologie und Mineralogie
Laborant für Lebensmittel,Laborantin für Lebensmittel
Laborant für Physik,Laborantin für Physik
Laborant im pharmazeutischen Labor,Laborantin im pharmazeutischen Labor
Laborant in der Apotheke,Laborantin in der Apotheke
Laborant in der Baustoffprüfung,Laborantin in der Baustoffprüfung
Laborant Spezialisierungsrichtung - Chemie,Laborantin Spezialisierungsrichtung - Chemie
Laborant Spezialisierungsrichtung Analytik,Laborantin Spezialisierungsrichtung Analytik
Laborant Spezialisierungsrichtung Eisenmetallurgie,Laborantin Spezialisierungsrichtung Eisenmetallurgie
Laborant Spezialisierungsrichtung Farben und Lacke,Laborantin Spezialisierungsrichtung Farben und Lacke
Laborant Spezialisierungsrichtung Glas und Keramik,Laborantin Spezialisierungsrichtung Glas und Keramik
Laborant Spezialisierungsrichtung Nichteisenmetallurgie,Laborantin Spezialisierungsrichtung Nichteisenmetallurgie
Laborant Spezialisierungsrichtung Synthese,Laborantin Spezialisierungsrichtung Synthese
Laborant Spezialisierungsrichtung Textil,Laborantin Spezialisierungsrichtung Textil
Laborarzt,Laborärztin
Laborassistent für Biologie,Laborassistentin für Biologie
